Designator,Mid X,Mid Y,Rotation,Layer
D1,85.065,-48.12,90.0,bottom
D10,161.265,-67.32875,90.0,bottom
D11,49.09625,-56.85,0.0,bottom
D12,49.09625,-71.85,0.0,bottom
D2,104.065,-48.12,90.0,bottom
D3,123.165,-48.12,90.0,bottom
D4,142.215,-48.12,90.0,bottom
D5,161.265,-48.12,90.0,bottom
D6,85.065,-67.32875,90.0,bottom
D7,104.115,-67.32875,90.0,bottom
D8,123.165,-67.32875,90.0,bottom
D9,142.215,-67.32875,90.0,bottom
S1,94.59,-46.85,0.0,top
S10,170.79,-65.9,0.0,top
S2,113.64,-46.85,0.0,top
S3,132.69,-46.85,0.0,top
S4,151.74,-46.85,0.0,top
S5,170.79,-46.85,0.0,top
S6,94.59,-65.9,0.0,top
S7,113.64,-65.9,0.0,top
S8,132.69,-65.9,0.0,top
S9,151.74,-65.9,0.0,top
SW1,72.6825,-77.0575,0.0,top
SW2,49.34625,-81.85,180.0,top
SW3,49.34625,-46.85,180.0,top
U1,72.6825,-54.7875,0.0,top
